is_soft_skill,soft_skill,context
1,creative thinking skills,"ability to be resourceful , demonstrate business acumen , creative think skill and be able to act"
1,attention to details,"within recruitment environment excellent communication skill excellent attention to detail skill , and effective time management"
1,negotiator,analytical skill be confident and a skilled negotiator have previous experience of manage
1,wellorganized,present and communicate effectively to clevel' client wellorganized and able to quickly expedite
1,conflict management,service in a busy environment have good conflict management skill
1,coordinating skills,hr professional with excellent administration and coordinate skill to operate at assistant
1,coordinate,dso lead time for sow sign coordinate with offshore team participate
1,interpersonal skills,"enthusiastic developer , with good communication and interpersonal skill , good at problem solve"
0,multitask oriented,successful track record work in complex multitask orient team environment outstanding communication
0,versatility,"product each year , demonstrate the outstanding versatility of the venue"
1,decision making skills,be a must along with strong decision make skill and excellent commercial awareness
1,take initiative,"to take initiative , and work without close"
0,effectiveness,low carbon energy source and prove their effectiveness a well a value
1,intercultural skills,fluency in both english and german intercultural skill a the first 69 month
1,hardworker,vary role you will be selfmotivated hardworker active studier problem solver
1,disciplinedprofessional attitude,with work allocation from a remote team discipline professional attitude understand and contribute towards
1,innovativeness,will be use your creativity and innovativeness to develop the company s
1,flexible,positive relationship with both staff and student flexible excellent timekeeper email your cv
0,progressive and forward thinking,a fantastic work environment within a progressive and forward think company
1,team management skills,what we 're really look for be team management skill combine with technical and data
1,tactful,the ability to display a calm and tactful attitude with excellent communication skill
1,solution oriented,and have a cando attitude be solution orient and be able to deal
1,innovation skills,"development , with excellent interpersonal skill and prove innovation skill to support your application"
1,results orientation,"articulate , communicate and understand competency leadership result orientation market and customer orientation social"
1,problem solver,attention to quality and detail creative problem solver with a positive attitude
1,enthusiasm,"promote and seasonal must have tenacity , confidence , enthusiasm and energy a strong communicator"
1,time management skills,flair for design professional business website excellent time management skill the ability to prioritise
1,ability to travel,interpersonal and diplomacy skill combine with the ability to travel and juggle a vary
1,proactive,have the drive to work in a proactive capacity under the direction
1,team worker,"visual inspection experience good communication skill , good team worker with a strong work ethic"
1,attention to detail,"large , multisite company , have a keen attention to detail and work well under"
0,energy,"always deliver beyond expectation experience in the energy , solar and online sector be"
1,take the initiative,team but equally selfmotivated and able to take the initiative
1,detailed oriented,"detail orient , have strong presentation and"
1,training updates skills,against target successful completion of company train update skill and competency have a friendly
1,written communication skills,an individual with excellent verbal and write communication skill ally to a strong
1,managerial ability,sense an above average level of intelligence managerial ability leadership skill ability to plan
0,coaching,within the hr operation team by provide coach on policy procedure ensure
1,communicating and influencing skills,jda space plan business insight report excellent communicate and influence skill
1,rigorous,"a lively , structure , and above all rigorous approach to the teach of"
1,judgement skills,sound judgement skill prefer safety engineer skill
1,constructive input and feedback,participate in meet and provide constructive input and feedback
0,competitive,the package competitive remuneration and benefit package
1,administrative and communication skills,a finance and payroll officer with excellent administrative and communication skill to join our busy
1,professional attitude,to prioritise heavy and variable workload professional attitude to all aspect of
1,to write,combine package insurance and be able to write new and exist business
1,team working,you have good team work skill and have work
1,commitment to excellence teamwork,"by exhibit the follow behaviour competence and commitment to excellence teamwork build strong , longterm partnership with"
0,organizational,"report , procedure or equipment , accord to organizational policy"
1,marketing and dissemination skills,"measurable outcome and impact , excellent project management , market and dissemination skill , a well a experience of"
1,dynamic person,"to this , you will be a dynamic person who have strong it"
1,proactive,ensure sensible appointment location and time proactive activity if require work
1,quality minded,the itil framework will be advantageous quality mind approach familiar with project
1,punctual,prove track record within the lift industry punctual and reliable
1,works collaboratively,work collaboratively and effectively with the
1,hardworker,level you will be ambitious great communicator hardworker problem solver detail orientate
0,ethical standards,"strong belief in both corporate and personal ethical standard , aim to provide an"
1,disciplined,"skill well organise , diligent , proactive , well discipline and commercially astute a"
1,proposal writing,full uk drive license proposal write skill and it literacy willingness
1,enthusiastic personality,"immediately ass , together with a confident and enthusiastic personality"
1,proposal writing,"strategic , plan and creative skill , include proposal write excellent write and edit skill"
1,international outlook,for the internet and online business international outlook good selforganization and willingness to
1,detailed oriented,"excel , word and powerpoint must be detail orient , have strong presentation and project"
1,ethical standards,and process continually improve quality ethical standard by work with and
1,to write,understand how to write online content to drive
1,accurate,"provide direct nurse care when require maintain accurate , individualise care plan for each"
1,manage and prioritise multiple essential tasks,"key attention to detail , be able to manage and prioritise multiple essential task , while maintain knowledge and keep"
1,outgoing,self starter can do attitude friendly and outgo team player
1,ability to communicate,work efficient and drive result under pressure ability to communicate between different time zone must
1,leadership,in health social care have a leadership management in care award
1,self confidence,be able to display self confidence and initiative
1,reasoning skills,"organisational , plan and critical reason skill"
1,team customer interaction,"manage , train , develop and motivate your team customer interaction and complaint resolution act"
1,interpretation skills,will have solid 2d and d seismic interpretation skill and your work will be
1,sympathy,the candidate must be in sympathy with the christian ethos
1,independent worker,"determine , hungry to earn well confident , resourceful , independent worker motivate to be successful ,"
1,training skills coaching skills,"skill write , verbal and presentation skill train skill coach skill sound knowledge of health"
1,counselling skills,"role in initiate change , effective leadership and counsel skill"
1,timemanagement skills,internally and externally strong plan and timemanagement skill previous experience in a relate
1,results driven,"management window server background itil qualify kpi sladriven result drive if this sound like you ,"
1,problem solving skills,"attention to detail and excellent analytical and problem solve skill , you will have experience of"
1,reasoning skills,team desirable experience of apply clinical reason skill across a range and vary
1,strategic thinking,tone of voice a require strong strategic think skill be fully aware
1,responsibility,a business development manager your primary responsibility will to engage and network
1,dynamic personality,industry mover with a credible and dynamic personality who be able to
1,listening and communication skills,excellent listen and communication skill
1,quick learner,develop ability to multitask and be a quick learner
1,self directed,work under pressure adaptable flexible self direct positive attitude this vacancy
0,schedule,production planner to enable the manufacture schedule in develop and continuously improve
1,interest to learn,good communicator and have a keen interest to learn about the next generation
1,proactive approach,to ensure a proactive approach to cost and service
1,be very creative,sale environment enjoy work towards challenge target be very creative in order to meet the
1,time management,verbal and write communication skill effective time management skill relate to project management
1,manages own time effectively,manage own time effectively and adapt to conflict demand
1,self confidence,"show tenacity , enthusiasm and drive , display self confidence and initiative develop relationship"
1,diplomatic,"of deal with supplier , a pleasant and diplomatic manner be require"
1,hard working person,"we be look for an enthusiastic , hard work person with good communication skill"
0,counseling,"hospital offer postoperative recovery , respite care , counsel and palliative care to"
1,customer orientation,environment strong client relationship skill and customer orientation problemsolver solution orient recognise in the
0,goal oriented,dynamic focus flexible adaptive to change goal orient
1,multitask oriented,communication skill and problem solve ability multitask orient able to inspect your own
1,patience,"management experience essential if you have patience , excellent relationship build skill and"
1,be creative,approach with excellent communication and interpersonal skill be creative and adaptable to new
1,consulting skills,"multitasking capability , a well a good consult skill"
1,positive,essential a well a a hardworking and positive attitude to work
1,consulting skills,improvement knowledge strong influence and communication skill consult skill commercial focus able to build
1,prioritization and organization skills,"excellent time management , decision make , prioritization and organization skill strong technical troubleshoot skill and"
0,aggressive,they be experience a period of aggressive plan for expansion
1,motivated,be look for highly organise proactive motivate able to cope under pressure
1,responsible person,be the responsible person for british gas in
1,skills ability to communicate,good interpersonal skill ability to communicate effectively both verbally and
1,systematic,"use own initiative , be well organise and systematic strong attention to detail"
1,proactive,package and intermediate skill use excel proactive determine person with drive and
1,hardworking,rock recruitment specialist be look for hardworking individual to join a team
0,strategic vision,to facilitate their strategic vision for 201 university of
1,championchallenger,for their consideration and introduction into the champion challenger framework candidate profile advance degree
1,trouble shooting,"alarm , cctv and access control system , trouble shoot and fault find of"
1,work collaboratively,"individual who can drive forward change , work collaboratively and innovate"
1,leadership skills,coach and leadership skill be desirable
1,organizing skills,"essential , have exceptional attention to detail , plan organize skill"
1,service mentality,"deadline and procedure a prove client service mentality , proactive this a great"
0,versatility,the sheer versatility of their sale offer
1,tactful,"diplomatic , tactful and courteous in all"
1,committed,"to work within a prestigious private hospital , commit to provide high standard of"
1,creativity,"a natural flair for problem solve and creativity , who be look to"
1,desire to learn,git experience or desire to learn mobile application development e g
1,active person,work in all weather suit fit active person a officer on foot
1,well organized,well organize with the ability to
1,self improve by learning,will also be give the chance to self improve by learn new technology through on
1,client facing skills,build service supervisor who posse excellent client face skill and who be capable of
1,motivation,"employee and line manager through effective motivation , leadership , coach and train"
1,problem solving skills,other skill and ability good problem solve skill able to work on
1,development skills,your substantial client expertise and people development skill a well a your strategic
0,creative,"will allow you the scope to take creative control for immediate consideration ,"
1,curious,successful candidate will be passionately curious with an affinity for data
1,people skills,strong people skill a man management be an
1,problemsolving,"and to demonstrate strong aptitude for analytical problemsolving , ability to work effectively a"
1,team work approach,also essential along with a proactive team work approach
1,leader,you will be a good team leader and your ability to run
1,communication and interpersonal abilities,excellent communication and interpersonal ability be essential to this
1,smart,"sql , window experience develop web , desktop and smart device application with a number"
1,client learning orientation,seek to add value to the client learn orientation a willingness to learn
1,telephone skills,a part of a team excellent telephone skill ability to use own initiative
1,positive cando attitude,new car sale manager foster a positive cando attitude and an enjoyable atmosphere
1,public speaking,"excellent communication , presentation and public speak skill write and verbal with"
1,communicate easily,follow skill confident person who can communicate easily with supplier face to face
0,autonomy,have a huge emphasis on delivery and autonomy in it employee and
1,relationship builder,you will also be a natural relationship builder with experience of significant
1,pleasant,"way , by make it easy and pleasant for our client s customer and"
1,ability to organise and coordinate,ability to organise and coordinate
1,hardworker,"strong communication skill target drive positive attitude , hardworker and enthusiastic a team"
1,accurate,"word , excel and outlook quick and accurate type skill at least"
1,quick to learn,"literate excel , word and powerpoint , and quick to learn new software commercially numerate"
1,initiative target driven,able to work off your own initiative target drive experience in b2b sell
1,assertiveness,"of autonomy , you will have the confidence , assertiveness and expertise to take down"
1,memory management skills,"developer objective c xcode cocoatouch ipad core data mobile with memory management skill , specifically with mrr , be"
1,self motivated and organized,along with the ability to be self motivate and organize
1,to write,"write , communication and presentation skill able to write report which can be direct"
1,professional with excellent presentation,"of change outstanding communication skill , highly professional with excellent presentation skill these be consultancy role"
1,personal management skills,"leadership quality , you will posse the relevant personal management skill to drive your branch forward"
1,run and develop the department,the role work alongside the buyer to run and develop the department manager profit performance build
1,critical thinking,anticipate and exercise critical think and to effectively influence
1,self motivation and organisational skills,and positive attitude he she must have excellent self motivation and organisational skill focus on objective and target
0,conceptualization,on the entire game development process from conceptualization to release
1,sensitivity,awareness and sensitivity to multinational exposure and culture
0,proposal writing,rfi rfp bid proposal write
1,active person,this role be suit to an active person that like to be on
1,conflict management skills,and best practice effective negotiation and conflict management skill good analytical ability and
1,confident,great teach position available for a confident year 3 teacher in
1,flexible with working hours,the automotive industry be desirable to be flexible with work hour and shift pattern change
1,project management skills,implementation experience with change management good project management skill itil certify foundation a a
1,selflearning,selflearning ability to quickly acquire knowledge
1,organisational skills,and broking of large property portfolio excellent organisational skill to ensure that company
1,assertiveness,a pressurise role appropriate level of assertiveness desirable requirement experience of
1,interpretation skills,"high level of shopper insight development and interpretation skill high level of analytical capability ,"
1,self directed,worker will be responsible for direct payment self direct support ass service user
1,scheduling skills,proficient in primavera proficient schedule skill ideally educate to degree level
1,coachingmentoring,analysis and produce report preferably experience of coach mentor or supervise others benefit
1,responsible person,monthly cash flow report for the responsible person and to ensure that adequate
1,character,"to bring large reserve of enthusiasm , character and hard work"
1,ability to adapt,draft skill sound problem solve skill ability to adapt to a broad range of
1,communicating skills,"exceed target , and be able demonstrate excellent communicate skill with customer service experience ,"
1,critical thinking skills multitasking skills,team player highly analytical together with critical think skill multitasking skill highly adaptable flexible work hour
0,honest,"cw consultant chris wilson we be honest , fast pace and truly passionate"
1,confident,"confident , approachable and with an outgo"
1,ability to interpret,or p p plan with the ability to interpret program work knowledge of the
1,team management skills,"communication skill , and strong leadership and team management skill"
1,creative,excellent write skill very medium aware be creative in your pr approach be
1,management skills,experience of deal with customer prove management skill excellent communication skill both oral and write it literate customer focus adaptability strong decision make skill interpersonal influence excellent time management skill thoroughness and attention
1,advocacy skills,wale and cost case law demonstrate strong advocacy skill strong negotiation skill high level
1,outgoing personality,an outgo personality and a great sense
1,team builder,a fantastic team builder and developer be need to
1,dedicated,"start a soon a possible , a dedicate cleaner to help provide a"
1,organization skills,be selfmotivated with outstanding communication and organization skill that will be essential to
1,teamwork approach,skill along with a proactive and strong teamwork approach
1,quality minded,the itil framework will be advantageous quality mind approach familiar with project
1,disciplined,"proactive , flexible style team player discipline , well organise , good time"
1,honesty,to clear an enhance crb check honesty and integrity essential a
1,courtesy,"and in write , use tact and courtesy"
1,creativity,project to deadline use your expertise and creativity to bring idea and
1,work in a high pressure,"must be confident , drive and able to work in a high pressure site environment , previous site experience"
1,critical thinking and analytical skills,roi and bottom line figure posse critical think and analytical skill
1,ability to anticipate,ability to anticipate the emergence of new revenue
1,systematic manner,groupthink ability to troubleshoot in a systematic manner proactive about continuous
1,judgment strong interpersonal skills,influence skill strong use of analysis and judgment strong interpersonal skill excellent write and verbal
1,diplomacy skills,can do attitude strong communication and diplomacy skill to secure positive work
1,multitask oriented,communication skill and problem solve ability multitask orient able to inspect your own
1,self directed,own vehicle successful candidate will be self direct and motivate hold excellent
1,able to multitask,both write and speak able to multitask and work efficiently and effectively
1,warm,"we require warm , enthusiastic and person center support"
1,ability to organize,"flexible , have good it skill , have the ability to organize workload effectively and work independently"
1,self motivated,background would be an advantage drive and self motivate person have a positive approach
1,able to persuade,"able to persuade , influence and enthuse use"
1,result orientation,strong process skill strong drive and result orientation strong relationship build skill
0,team in providing management,"will be to assist the current plan team in provide management information to establish process ,"
1,coordinate,seek a dedicate restaurant manager to coordinate the entire operation of
1,hard working,you will be hard work and drive with a great
1,be innovative and creative,passionate about food and great service be innovative and creative need to be drive
1,active,experience of vmware esxi design and installation active directory experience any script
1,self motivated and organized,with nmc guideline and to keep update self motivate and organize an active team player and
1,motivating,"appraisal , disciplinarian and development of staff motivate individual and put target"
1,self starter with initiative,candidate must be a self starter with initiative and a prove track record
1,analytical mind,"equally posse excellent communication skill , an analytical mind and you be client focus"
0,action oriented,"under pressure in a fast move , action orient environment"
0,team member,commission per book rat for each team member in order to maintain
1,originality,"background , and have a flair and originality to bring to the team"
1,organizer,"communication and some administrative duty strong communicator , organizer eligible to live"
0,organizational,the business to identify opportunity for organizational change and take ownership
1,analytical mind,work you will also have an analytical mind in order to ensure
1,pleasant,"pension , private healthcare and free park and pleasant , friendly work environment all await"
1,ability to prioritize,sector company excellent organizational skill ability to prioritize excellent m office
0,courtesy,"career legal 's policy , a a matter of courtesy to respond to all"
1,warm,aspect of the national curriculum have a warm and approachable personality be
1,punctual,"be professionally present , speak clear english , punctual , able to multi task think on"
1,cheerful and outgoing personality,verbal skill for communication and understand others cheerful and outgo personality
1,energy,"will ideally have prior mine energy , construction or engineer experience and"
1,self out going,"if you consider your self out go , excellent with people and"
1,analytical way of thinking,"solve and plan skill , and a structure , analytical way of think"
1,managerial and leadership skills,rmn management qualification posse strong managerial and leadership skill with the ability to
0,achiever,hotel accommodation vip club access high achiever award company season
1,ability to negotiate,"the ability to negotiate high value , complex system on"
1,team spirit,with customer a well a display good team spirit
1,open to change,administration enjoy work in a team environment open to change and embrace new way
1,organizational,attention to detail strong organizational multitasking skill strong analytical skill
1,critical thinking,"project management plan , map , status report critical think and problem solve organize , action"
1,level of organisation and motivation,demand role which require a high level of organisation and motivation
1,team working,professional full of innovative idea and great team work skill look for their next
1,leadership skills,to demonstrate excellent attention to detail and leadership skill
1,public speaking skills,"strong public speak skill excellent timemanagement skill , balance"
1,organizational and problemsolving skills,the full software development lifecycle strong organizational and problemsolving skill strong ability to evaluate
1,wellorganized,"furthermore , you work in an efficient , wellorganized and proactive way"
1,commitment,so that a positive outcome be achieve commitment to result work in
1,accuracy,"excellent write skill , with accuracy and attention to detail be"
1,mature personality,"drive , motivation and strong business development acumen mature personality able to develop and"
0,ethical standardsselfmotivated,work with high ethical standard selfmotivated and ability to work independently
1,able to prioritize,"with client face to face must be able to prioritize workload , a multitasked and a"
1,humor,the curriculum and a great sense of humor
1,self starters,"be look for highly motivate , tenacious , self starter , look to maximise their"
1,diligent,be meet the company s financial objective through diligent management of your portfolio budget
1,customer service ethics,friendly team a personal licence holder strong customer service ethic a strong sense of autonomy
1,meeting deadlines,experience of prioritise personal workload and meet deadline experience of work with
1,problemsolvingtroubleshooting,"area for improvement and suggest solution , excellent problemsolving troubleshoot skill and the confidence"
1,organizational skills,and communication skill a must good organizational skill with the ability to prioritise
1,social skills,background chemistry confident excellent network and social skill physically capable of move heavy
1,curious,"a flexible , handson , cando approach engage , approachable , curious , sense of humour excellent"
1,communication and interpersonal skills,excellent communication and interpersonal skill full drive licence a essential
1,hard working,"you must be hard work , use to fresh food , have"
1,initiative person,"be look for a self motivate , initiative person with a customer focus"
1,willing to travel,must be will to travel overseas a and when
1,ability to report,have an easy communication style with the ability to report financial result to the business
1,facilitation and presentation skills,"business management role require excellent communication , facilitation and presentation skill"
1,ability to conceptualize,"evaluate content in an unbiased fashion ability to conceptualize and execute project , with strong"
1,work ethic,to individual who show a strong work ethic and willingness to learn new
1,encouraging innovation,relish the opportunity to drive amp encourage innovation in data solution then
0,building,"from strength to strength , they be build on their exist team and"
1,responsibility,travel industry will and able to take responsibility own understand and development ability
1,motivation,"character lot of energy , drive and motivation candidate need to be"
1,correct reporting,"to product manager for the monitor and correct report of product incident , provide operative"
1,initiative and result driven,negotiation and problemsolving skill excellent documentation skill initiative and result drive flexible approach to work hour
1,self starter,"and will need to be a self starter , with a subject matter expertise"
1,sociable,restaurant new movement in all day din sociable good communication if you feel
1,leadership ability,"of change , exercise your strategic skill and leadership ability to the full"
1,team oriented,"a flexible and team orient professional , you must have empathy"
0,collaborative,"work environment with a supportive management structure , collaborative team and a culture which"
1,results orientation,skill have high energy with strong result orientation together with personal ambition
1,learn quickly,a linux environment the ability to learn quickly with enthusiasm these will
1,initiative thinking,be flexible skill ability to demonstrate own initiative think flexibility able to cope with
1,patient,"clinical cod foundation course work knowledge of patient administration system pa experience in reference endoscribe , nipacs , result and patient centre system attend all relevant"
0,independent,day holiday pension benefit company highly profitable independent business operate from multiple
1,correct valuation and reporting,ssismaintain price on designate account to ensure correct valuation and report for all pool clientseffectively process
1,client oriented,environment and comfortable with cold call client orient and proactive sale approach
1,openminded,city centre daily applicant should be openminded and excite about learn new
1,ability to sell,the ability to sell and influence others through
1,international outlook,international outlook with the ability to
1,communicating skills,"relationship management and strong influence and communicate skill , both verbal and write a"
0,followthrough,highly available database system analysis and followthrough of application service problem against
1,analytical mind,"candidate will be innovator with an analytical mind , have strong team work organisational"
1,team behaviour and interaction,and principle remain the foundation of team behaviour and interaction with customer you will have
1,attention to detail,"selfmotivated , assertive and with a rigorous attention to detail advance skill in excel , word"
1,communications skills,have high attention to detail and excellent communication skill
1,public speaking skills,teamwork and leadership ability motivational informative public speak skill human resource management public
1,critical thinking skills,"excellent ifrs knowledge personal quality strong critical think skill comfortable with ambiguity , a rapidly"
1,thorough,key responsibility develop a thorough understand of each of the
1,self starter,close deal person determine and drive self starter with an ambition to succeed
1,friendly personality,write and verbal communication open and friendly personality prove client face experience this
1,client orientation,combination of technical understand combine with client orientation
1,versatility,versatility be a key requirement
1,communication skill,data skill in verbal and write communication skill in develop and maintain effective
1,organizational and analytical skills,"you must have excellent communication , organizational and analytical skill combine with the ability to"
1,solvingquick learning,and interpersonal skill aptitude for problem solve quick learn positive attitude and high level
1,discipline,"responsible for train , development , welfare and discipline of shop floor staff"
1,social and interpersonal skills,"genuine enjoyment of meet people , with extensive social and interpersonal skill and an ability to communicate"
1,dedicated person,"we require an enthusiastic , reliable and dedicate person to join our management"
0,hospitable,customer to create a warm and hospitable environment actively increase member
1,hospitable,"there be a warm , safe and hospitable welcome for all to ensure"
1,problemsolving skills,class customer care ethos natural problemsolving skill high stamen to
1,ethical,"s online presence through effective and ethical offsite linkbuilding practice , conceptualise"
1,followthrough,"highly organize and detail orient with exceptional followthrough team player , selfstarter exposure to"
0,meeting deadlines,"effective operation of the dispatch department , meet deadline and target in order to"
1,responsible,job responsibility responsible for the day to
1,presentation and documentation skills,must be highly articulate and have excellent presentation and documentation skill a the role require direct
1,ethical standards,a demonstrate commitment to high professional ethical standard and a diverse workplace
1,personal management communication skills,"will rely on self motivation , good personal management communication skill , whilst work a a"
1,client facing skills,of utm firewall endpoint security technology but also commercial client face skill
1,ability to empathise and listen,for your own workload must have the ability to empathise and listen actively to customer 's need
1,attention to the smallest details,look for creative and inspire leadership attention to the smallest detail a passion for guest
1,ingenuity,problem that require the regular use of ingenuity and creativity
1,mentoring skills,"strong leadership , communication and mentor skill be also require"
0,social skills,"be opportunity for our student to develop social skill , practical skill and collaborative skill"
1,creative thinking skills,"academic background with strong conceptual , analytical and creative think skill"
1,diplomatic manner,"vital that you have a confident , professional diplomatic manner"
1,willing to learn,fun build a career be ambitious be will to learn and develop they would like
1,relationship builder,"a talented sale professional and prove relationship builder have excellent communication skill , a"
